Tanggal,Musim,Tahun,Bulan,holiday,weekday,weather,temp,humidity,windspeed,registered,count
1/1/2020,1,2020,Januari,hari biasa,Wednesday,berkabut,0.344167,0.805833,0.160446,654,985
1/2/2020,1,2020,Januari,hari biasa,Thursday,berkabut,0.363478,0.696087,0.248539,670,801
1/3/2020,1,2020,Januari,hari biasa,Friday,cerah berawan,0.196364,0.437273,0.248309,1229,1349
1/4/2020,1,2020,Januari,hari biasa,Saturday,cerah berawan,0.2,0.590435,0.160296,1454,1562
1/5/2020,1,2020,Januari,hari biasa,Sunday,cerah berawan,0.226957,0.436957,0.1869,1518,1600
1/6/2020,1,2020,Januari,hari biasa,Monday,cerah berawan,0.204348,0.518261,0.0895652,1518,1606
1/7/2020,1,2020,Januari,hari biasa,Tuesday,berkabut,0.196522,0.498696,0.168726,1362,1510
1/8/2020,1,2020,Januari,hari biasa,Wednesday,berkabut,0.165,0.535833,0.266804,891,959
1/9/2020,1,2020,Januari,hari biasa,Thursday,cerah berawan,0.138333,0.434167,0.36195,768,822
1/10/2020,1,2020,Januari,hari biasa,Friday,cerah berawan,0.150833,0.482917,0.223267,1280,1321
1/11/2020,1,2020,Januari,hari biasa,Saturday,berkabut,0.169091,0.686364,0.122132,1220,1263
1/12/2020,1,2020,Januari,hari biasa,Sunday,cerah berawan,0.172727,0.599545,0.304627,1137,1162
1/13/2020,1,2020,Januari,hari biasa,Monday,cerah berawan,0.165,0.470417,0.301,1368,1406
1/14/2020,1,2020,Januari,hari biasa,Tuesday,cerah berawan,0.16087,0.537826,0.126548,1367,1421
1/15/2020,1,2020,Januari,hari biasa,Wednesday,berkabut,0.233333,0.49875,0.157963,1026,1248
1/16/2020,1,2020,Januari,hari biasa,Thursday,cerah berawan,0.231667,0.48375,0.188433,953,1204
1/17/2020,1,2020,Januari,hari libur nasional,Friday,berkabut,0.175833,0.5375,0.194017,883,1000
1/18/2020,1,2020,Januari,hari biasa,Saturday,berkabut,0.216667,0.861667,0.146775,674,683
1/19/2020,1,2020,Januari,hari biasa,Sunday,berkabut,0.292174,0.741739,0.208317,1572,1650
1/20/2020,1,2020,Januari,hari biasa,Monday,berkabut,0.261667,0.538333,0.195904,1844,1927
1/21/2020,1,2020,Januari,hari biasa,Tuesday,cerah berawan,0.1775,0.457083,0.353242,1468,1543
1/22/2020,1,2020,Januari,hari biasa,Wednesday,cerah berawan,0.0591304,0.4,0.17197,888,981
1/23/2020,1,2020,Januari,hari biasa,Thursday,cerah berawan,0.0965217,0.436522,0.2466,836,986
1/24/2020,1,2020,Januari,hari biasa,Friday,cerah berawan,0.0973913,0.491739,0.15833,1330,1416
1/25/2020,1,2020,Januari,hari biasa,Saturday,berkabut,0.223478,0.616957,0.129796,1799,1985
1/26/2020,1,2020,Januari,hari biasa,Sunday,hujan ringan atau salju,0.2175,0.8625,0.29385,472,506
1/27/2020,1,2020,Januari,hari biasa,Monday,cerah berawan,0.195,0.6875,0.113837,416,431
1/28/2020,1,2020,Januari,hari biasa,Tuesday,berkabut,0.203478,0.793043,0.1233,1129,1167
1/29/2020,1,2020,Januari,hari biasa,Wednesday,cerah berawan,0.196522,0.651739,0.145365,975,1098
1/30/2020,1,2020,Januari,hari biasa,Thursday,cerah berawan,0.216522,0.722174,0.0739826,956,1096
1/31/2020,1,2020,Januari,hari biasa,Friday,berkabut,0.180833,0.60375,0.187192,1459,1501
2/1/2020,1,2020,Febuari,hari biasa,Saturday,berkabut,0.192174,0.829565,0.053213,1313,1360
2/2/2020,1,2020,Febuari,hari biasa,Sunday,berkabut,0.26,0.775417,0.264308,1454,1526
2/3/2020,1,2020,Febuari,hari biasa,Monday,cerah berawan,0.186957,0.437826,0.277752,1489,1550
2/4/2020,1,2020,Febuari,hari biasa,Tuesday,berkabut,0.211304,0.585217,0.127839,1620,1708
2/5/2020,1,2020,Febuari,hari biasa,Wednesday,berkabut,0.233333,0.929167,0.161079,905,1005
2/6/2020,1,2020,Febuari,hari biasa,Thursday,cerah berawan,0.285833,0.568333,0.1418,1269,1623
2/7/2020,1,2020,Febuari,hari biasa,Friday,cerah berawan,0.271667,0.738333,0.0454083,1592,1712
2/8/2020,1,2020,Febuari,hari biasa,Saturday,cerah berawan,0.220833,0.537917,0.36195,1466,1530
2/9/2020,1,2020,Febuari,hari biasa,Sunday,berkabut,0.134783,0.494783,0.188839,1552,1605
2/10/2020,1,2020,Febuari,hari biasa,Monday,cerah berawan,0.144348,0.437391,0.221935,1491,1538
2/11/2020,1,2020,Febuari,hari biasa,Tuesday,cerah berawan,0.189091,0.506364,0.10855,1597,1746
2/12/2020,1,2020,Febuari,hari biasa,Wednesday,cerah berawan,0.2225,0.544167,0.203367,1184,1472
2/13/2020,1,2020,Febuari,hari biasa,Thursday,cerah berawan,0.316522,0.457391,0.260883,1192,1589
2/14/2020,1,2020,Febuari,hari biasa,Friday,cerah berawan,0.415,0.375833,0.417908,1705,1913
2/15/2020,1,2020,Febuari,hari biasa,Saturday,cerah berawan,0.266087,0.314348,0.291374,1675,1815
2/16/2020,1,2020,Febuari,hari biasa,Sunday,cerah berawan,0.318261,0.423478,0.251791,1897,2115
2/17/2020,1,2020,Febuari,hari biasa,Monday,cerah berawan,0.435833,0.505,0.230104,2216,2475
2/18/2020,1,2020,Febuari,hari biasa,Tuesday,cerah berawan,0.521667,0.516667,0.264925,2348,2927
2/19/2020,1,2020,Febuari,hari biasa,Wednesday,cerah berawan,0.399167,0.187917,0.507463,1103,1635
2/20/2020,1,2020,Febuari,hari biasa,Thursday,cerah berawan,0.285217,0.407826,0.223235,1173,1812
2/21/2020,1,2020,Febuari,hari libur nasional,Friday,berkabut,0.303333,0.605,0.307846,912,1107
2/22/2020,1,2020,Febuari,hari biasa,Saturday,cerah berawan,0.182222,0.577778,0.195683,1376,1450
2/23/2020,1,2020,Febuari,hari biasa,Sunday,cerah berawan,0.221739,0.423043,0.094113,1778,1917
2/24/2020,1,2020,Febuari,hari biasa,Monday,berkabut,0.295652,0.697391,0.250496,1707,1807
2/25/2020,1,2020,Febuari,hari biasa,Tuesday,berkabut,0.364348,0.712174,0.346539,1341,1461
2/26/2020,1,2020,Febuari,hari biasa,Wednesday,cerah berawan,0.2825,0.537917,0.186571,1545,1969
2/27/2020,1,2020,Febuari,hari biasa,Thursday,cerah berawan,0.343478,0.68,0.125248,1708,2402
2/28/2020,1,2020,Febuari,hari biasa,Friday,berkabut,0.407273,0.876364,0.289686,1365,1446
2/29/2020,1,2020,Febuari,hari biasa,Saturday,cerah berawan,0.266667,0.535,0.216425,1714,1851
3/1/2020,1,2020,Maret,hari biasa,Sunday,cerah berawan,0.335,0.449583,0.307833,1903,2134
3/2/2020,1,2020,Maret,hari biasa,Monday,cerah berawan,0.198333,0.318333,0.225754,1562,1685
3/3/2020,1,2020,Maret,hari biasa,Tuesday,berkabut,0.261667,0.610417,0.203346,1730,1944
3/4/2020,1,2020,Maret,hari biasa,Wednesday,berkabut,0.384167,0.789167,0.251871,1437,2077
3/5/2020,1,2020,Maret,hari biasa,Thursday,berkabut,0.376522,0.948261,0.343287,491,605
3/6/2020,1,2020,Maret,hari biasa,Friday,cerah berawan,0.261739,0.551304,0.341352,1628,1872
3/7/2020,1,2020,Maret,hari biasa,Saturday,cerah berawan,0.2925,0.420833,0.12065,1817,2133
3/8/2020,1,2020,Maret,hari biasa,Sunday,berkabut,0.295833,0.775417,0.22015,1700,1891
3/9/2020,1,2020,Maret,hari biasa,Monday,hujan ringan atau salju,0.389091,0,0.261877,577,623
3/10/2020,1,2020,Maret,hari biasa,Tuesday,berkabut,0.316522,0.649565,0.23297,1730,1977
3/11/2020,1,2020,Maret,hari biasa,Wednesday,cerah berawan,0.329167,0.594583,0.220775,1408,2132
3/12/2020,1,2020,Maret,hari biasa,Thursday,cerah berawan,0.384348,0.527391,0.270604,1435,2417
3/13/2020,1,2020,Maret,hari biasa,Friday,cerah berawan,0.325217,0.496957,0.136926,1687,2046
3/14/2020,1,2020,Maret,hari biasa,Saturday,berkabut,0.317391,0.655652,0.184309,1767,2056
3/15/2020,1,2020,Maret,hari biasa,Sunday,berkabut,0.365217,0.776522,0.203117,1871,2192
3/16/2020,1,2020,Maret,hari biasa,Monday,cerah berawan,0.415,0.602917,0.209579,2320,2744
3/17/2020,1,2020,Maret,hari biasa,Tuesday,cerah berawan,0.54,0.525217,0.231017,2355,3239
3/18/2020,1,2020,Maret,hari biasa,Wednesday,cerah berawan,0.4725,0.379167,0.368167,1693,3117
3/19/2020,1,2020,Maret,hari biasa,Thursday,cerah berawan,0.3325,0.47375,0.207721,1424,2471
3/20/2020,2,2020,Maret,hari biasa,Friday,berkabut,0.430435,0.737391,0.288783,1676,2077
3/21/2020,2,2020,Maret,hari biasa,Saturday,cerah berawan,0.441667,0.624583,0.22575,2243,2703
3/22/2020,2,2020,Maret,hari biasa,Sunday,berkabut,0.346957,0.839565,0.234261,1918,2121
3/23/2020,2,2020,Maret,hari biasa,Monday,berkabut,0.285,0.805833,0.243787,1699,1865
3/24/2020,2,2020,Maret,hari biasa,Tuesday,cerah berawan,0.264167,0.495,0.230725,1910,2210
3/25/2020,2,2020,Maret,hari biasa,Wednesday,cerah berawan,0.265833,0.394167,0.209571,1515,2496
3/26/2020,2,2020,Maret,hari biasa,Thursday,berkabut,0.253043,0.493913,0.1843,1221,1693
3/27/2020,2,2020,Maret,hari biasa,Friday,cerah berawan,0.264348,0.302174,0.212204,1806,2028
3/28/2020,2,2020,Maret,hari biasa,Saturday,cerah berawan,0.3025,0.314167,0.226996,2108,2425
3/29/2020,2,2020,Maret,hari biasa,Sunday,berkabut,0.3,0.646667,0.172888,1368,1536
3/30/2020,2,2020,Maret,hari biasa,Monday,hujan ringan atau salju,0.268333,0.918333,0.217646,1506,1685
3/31/2020,2,2020,Maret,hari biasa,Tuesday,berkabut,0.3,0.68625,0.258708,1920,2227
4/1/2020,2,2020,April,hari biasa,Wednesday,berkabut,0.315,0.65375,0.197146,1354,2252
4/2/2020,2,2020,April,hari biasa,Thursday,cerah berawan,0.378333,0.48,0.182213,1598,3249
4/3/2020,2,2020,April,hari biasa,Friday,cerah berawan,0.573333,0.42625,0.385571,2381,3115
4/4/2020,2,2020,April,hari biasa,Saturday,berkabut,0.414167,0.642083,0.388067,1628,1795
4/5/2020,2,2020,April,hari biasa,Sunday,cerah berawan,0.390833,0.470833,0.263063,2395,2808
4/6/2020,2,2020,April,hari biasa,Monday,cerah berawan,0.4375,0.602917,0.162312,2570,3141
4/7/2020,2,2020,April,hari biasa,Tuesday,berkabut,0.335833,0.83625,0.226992,1299,1471
4/8/2020,2,2020,April,hari biasa,Wednesday,berkabut,0.3425,0.8775,0.133083,1576,2455
4/9/2020,2,2020,April,hari biasa,Thursday,berkabut,0.426667,0.8575,0.146767,1707,2895
4/10/2020,2,2020,April,hari biasa,Friday,berkabut,0.595652,0.716956,0.324474,2493,3348
4/11/2020,2,2020,April,hari biasa,Saturday,berkabut,0.5025,0.739167,0.274879,1777,2034
4/12/2020,2,2020,April,hari biasa,Sunday,berkabut,0.4125,0.819167,0.250617,1953,2162
4/13/2020,2,2020,April,hari biasa,Monday,cerah berawan,0.4675,0.540417,0.1107,2738,3267
4/14/2020,2,2020,April,hari libur nasional,Tuesday,cerah berawan,0.446667,0.67125,0.226375,2484,3126
4/15/2020,2,2020,April,hari biasa,Wednesday,hujan ringan atau salju,0.430833,0.888333,0.340808,674,795
4/16/2020,2,2020,April,hari biasa,Thursday,cerah berawan,0.456667,0.479583,0.303496,2186,3744
4/17/2020,2,2020,April,hari biasa,Friday,cerah berawan,0.5125,0.5425,0.163567,2760,3429
4/18/2020,2,2020,April,hari biasa,Saturday,berkabut,0.505833,0.665833,0.157971,2795,3204
4/19/2020,2,2020,April,hari biasa,Sunday,cerah berawan,0.595,0.614167,0.241925,3331,3944
4/20/2020,2,2020,April,hari biasa,Monday,cerah berawan,0.459167,0.407083,0.325258,3444,4189
4/21/2020,2,2020,April,hari biasa,Tuesday,berkabut,0.336667,0.729583,0.219521,1506,1683
4/22/2020,2,2020,April,hari biasa,Wednesday,berkabut,0.46,0.887917,0.230725,2574,4036
4/23/2020,2,2020,April,hari biasa,Thursday,berkabut,0.581667,0.810833,0.192175,2481,4191
4/24/2020,2,2020,April,hari biasa,Friday,cerah berawan,0.606667,0.776667,0.185333,3300,4073
4/25/2020,2,2020,April,hari biasa,Saturday,cerah berawan,0.631667,0.729167,0.3265,3722,4400
4/26/2020,2,2020,April,hari biasa,Sunday,berkabut,0.62,0.835417,0.3122,3325,3872
4/27/2020,2,2020,April,hari biasa,Monday,berkabut,0.6175,0.700833,0.320908,3489,4058
